index,BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
1439,3,NH 9,1.25,7812.0,1600.0,1,Furnished,East,not sure,3,2,Main Road,Hydrabad
1440,2,others,0.7000000000000001,6167.0,1135.0,4,Unfurnished,East,not sure,2,3,"Garden/Park, Main Road, Pool",Hydrabad
1441,3,others,1.87,8500.0,2200.0,2,Unfurnished,East,not sure,3,4,"Main Road, Pool",Hydrabad
1442,3,Nizampet,1.83,7957.0,2300.0,4,Furnished,West,not sure,4,2,Garden/Park,Hydrabad
1443,2,others,0.85,7203.0,1180.0,2,Semi-Furnished,East,not sure,2,2,"Garden/Park, Main Road",Hydrabad
1444,4,others,3.6,13139.0,2740.0,2,Unfurnished,West,not sure,3,2,Garden/Park,Hydrabad
1445,4,others,5.0,17019.0,2938.0,10+,Unfurnished,East,available,3,,"Garden/Park, Main Road, Pool",Hydrabad
1446,3,others,0.87,6341.0,1372.0,5,Unfurnished,North,not sure,3,3,"Garden/Park, Main Road, Pool",Hydrabad
1447,3,Uppal,0.95,6032.0,1575.0,1,Unfurnished,East,not sure,3,1,Garden/Park,Hydrabad
1448,3,others,1.05,7778.0,1350.0,3,Unfurnished,West,not sure,3,2,Main Road,Hydrabad
1449,3,others,0.96,6443.0,1490.0,4,Semi-Furnished,West,available,2,2,Garden/Park,Hydrabad
1450,3,others,0.45,4004.0,1124.0,3,Unfurnished,,not sure,3,,,Hydrabad
1451,2,Pragathi Nagar,0.746,5800.0,1287.0,,Unfurnished,,available,2,,,Hydrabad
1452,3,Manikonda Jagir,2.5,10870.0,2300.0,10+,Furnished,East,available,4+,,Garden/Park,Hydrabad
1453,2,Narsingi,1.7,12938.0,1314.0,10+,Semi-Furnished,East,available,2,1,"Garden/Park, Pool",Hydrabad
1454,3,others,2.2,11518.0,1910.0,10+,Unfurnished,East,not sure,3,1,"Garden/Park, Pool",Hydrabad
1455,2,Manikonda Jagir,0.64,5689.0,1125.0,4,Semi-Furnished,East,available,2,2,"Garden/Park, Main Road",Hydrabad
1456,2,Bandlaguda Jagir,0.7000000000000001,5650.0,1239.0,5,Unfurnished,East,not sure,2,2,,Hydrabad
1457,3,others,6.7,19534.0,3430.0,10+,Unfurnished,East,available,3,2,Main Road,Hydrabad
1458,2,Miyapur,0.52,5078.0,1024.0,2,Semi-Furnished,West,available,2,1,Main Road,Hydrabad
1459,3,others,2.0,9438.0,2119.0,10+,Furnished,East,available,4,,Main Road,Hydrabad
1460,2,others,0.74,7048.0,1050.0,3,Unfurnished,East,not sure,2,1,Garden/Park,Hydrabad
1461,2,others,0.45,4500.0,1000.0,2,Semi-Furnished,North - East,available,2,1,Main Road,Hydrabad
1462,4,others,3.36,11000.0,3055.0,1,Semi-Furnished,West,not sure,4,4,Main Road,Hydrabad
1463,3,Chanda Nagar,1.03,6890.0,1495.0,4,Unfurnished,,not sure,3,2,,Hydrabad
1464,2,Miyapur,0.9,7627.0,1180.0,8,Unfurnished,West,not sure,2,1,Main Road,Hydrabad
1465,3,Outer Ring Road,1.65,9694.0,1702.0,10+,Furnished,West,not sure,3,1,"Garden/Park, Main Road, Pool",Hydrabad
1466,2,Tellapur,0.904,6500.0,1391.0,9,Unfurnished,East,not sure,2,1,Main Road,Hydrabad
1467,3,others,2.1,7595.0,2765.0,2,Unfurnished,West,available,3,1,,Hydrabad
