,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
123,3 BHK Apartment for Sale in CSG Apartment Chennai,"1.99 Cr14,000 per sqft",NAN,1425 sqft,Ready to Move,2 out of 2,Resale,Unfurnished,NAN,NAN,Freehold,NAN,2,1,NAN,NAN
124,2 BHK Apartment for Sale in Veppampattu Chennai,"60 Lac4,054 per sqft",1380 sqft,NAN,Ready to Move,2 out of 3,Resale,Furnished,North,NAN,Freehold,1 Covered,1,2,"Garden/Park, Main Road",NAN
125,2 BHK Apartment for Sale in Saligramam Chennai,"80 Lac8,130 per sqft",NAN,984 sqft,Ready to Move,1 out of 3,Resale,Furnished,North,NAN,Freehold,NAN,2,2,Main Road,NAN
126,2 BHK Apartment for Sale in VOC Nagar Velachery Chennai,"67 Lac7,571 per sqft",885 sqft,NAN,Ready to Move,1 out of 2,Resale,Semi-Furnished,South,NAN,Freehold,1 Covered,2,NAN,Main Road,NAN
127,2 BHK Builder Floor for Sale in Goparasanallur Chennai,"52 Lac5,909 per sqft",750 sqft,NAN,Ready to Move,2 out of 2,Resale,Semi-Furnished,North,NAN,Freehold,NAN,2,1,Main Road,NAN
128,2 BHK Apartment for Sale in Adyar Chennai,"83 Lac10,696 per sqft",776 sqft,NAN,Ready to Move,3 out of 4,Resale,Semi-Furnished,East,NAN,Freehold,NAN,1,1,Main Road,NAN
129,2 BHK Apartment for Sale in Kovur Chennai,"48 Lac5,156 per sqft",931 sqft,NAN,Ready to Move,1 out of 3,New Property,Semi-Furnished,NAN,NAN,Freehold,3 Covered,2,1,NAN,NAN
130,2 BHK Apartment for Sale in Kodambakkam Chennai,"85 Lac9,444 per sqft",600 sqft,NAN,Ready to Move,2 out of 2,Resale,Unfurnished,West,NAN,Freehold,NAN,2,1,NAN,NAN
131,2 BHK Apartment for Sale in Telephone Nagar Chennai,"62 Lac5,833 per sqft",NAN,1063 sqft,Ready to Move,2 out of 2,Resale,Unfurnished,North,NAN,Freehold,1 Covered,2,NAN,NAN,NAN
132,2 BHK Apartment for Sale in Gangai Nagar Urapakkam Chennai,"34 Lac4,857 per sqft",700 sqft,NAN,Ready to Move,1 out of 2,Resale,Furnished,NAN,NAN,NAN,NAN,2,2,NAN,NAN
133,2 BHK Apartment for Sale in Padur Chennai,62 Lac,1268 sqft,NAN,Ready to Move,7 out of 15,Resale,Furnished,East,NAN,Freehold,1 Covered,2,2,Garden/Park,NAN
134,2 BHK Apartment for Sale in Old Mahabalipuram Road Chennai Chennai,"45 Lac4,797 per sqft",738 sqft,NAN,Ready to Move,1 out of 14,Resale,Semi-Furnished,East,NAN,Freehold,NAN,2,1,"Garden/Park, Main Road",NAN
135,5 BHK Apartment for Sale in Shanmugapuram Chennai,"1.75 Cr14,583 per sqft",NAN,1200 sqft,Ready to Move,2 out of 2,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,5,NAN,NAN,NAN
136,3 BHK Apartment for Sale in Manapakkam Chennai,"1.28 Cr8,153 per sqft",NAN,1570 sqft,NAN,2 out of 7,Resale,Unfurnished,West,NAN,NAN,NAN,2,2,NAN,Poss. by Oct '24
137,3 BHK Apartment for Sale in Kottivakkam Chennai,"90 Lac7,087 per sqft",NAN,1270 sqft,Ready to Move,1 out of 2,Resale,NAN,East,NAN,Freehold,1 Covered,2,1,NAN,NAN
138,2 BHK Apartment for Sale in Essa Chennai,90 Lac,920 sqft,NAN,Ready to Move,2 out of 3,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,1,NAN,NAN
139,2 BHK Apartment for Sale in Padi Kuppam Chennai,75 Lac,925 sqft,NAN,Ready to Move,Ground out of 2,Resale,Semi-Furnished,North,NAN,NAN,NAN,2,NAN,NAN,NAN
140,3 BHK Apartment for Sale in Pantheon Road Chennai,"1.80 Cr9,151 per sqft",1595 sqft,NAN,Ready to Move,4 out of 4,Resale,Semi-Furnished,South,NAN,Freehold,NAN,4,1,Garden/Park,NAN
141,2 BHK Builder Floor for Sale in Mudichur Chennai,"45 Lac4,644 per sqft",NAN,969 sqft,Ready to Move,2 out of 2,Resale,Unfurnished,South,NAN,Freehold,NAN,2,3,Main Road,NAN
142,3 BHK Apartment for Sale in WTC Brigade Perungudi Chennai,"3.75 Cr20,604 per sqft",NAN,1820 sqft,Ready to Move,9 out of 26,Resale,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
143,2 BHK Apartment for Sale in Avadi Chennai,"45 Lac5,166 per sqft",NAN,871 sqft,NAN,1 out of 3,Resale,Unfurnished,North,NAN,Freehold,NAN,2,2,NAN,Poss. by May '25
144,2 BHK Apartment for Sale in Mannivakkam Chennai,"50 Lac5,734 per sqft",NAN,872 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,South - East,NAN,Freehold,1 Open,2,1,Garden/Park,NAN
145,2 BHK Apartment for Sale in New Perungalathur Chennai,"49 Lac5,104 per sqft",800 sqft,NAN,Ready to Move,Ground out of 2,Resale,Unfurnished,East,NAN,NAN,NAN,2,NAN,NAN,NAN
146,3 BHK Apartment for Sale in Numbal Chennai,"79 Lac5,595 per sqft",NAN,1412 sqft,Ready to Move,2 out of 2,Resale,Semi-Furnished,North,NAN,Freehold,NAN,3,NAN,Main Road,NAN
147,3 BHK Apartment for Sale in Kellys Chennai,"2.26 Cr17,042 per sqft",1100 sqft,NAN,Ready to Move,2 out of 4,Resale,Unfurnished,East,NAN,Freehold,1 Covered,2,2,"Garden/Park, Main Road",NAN
148,2 BHK Apartment for Sale in Kolapakkam Chennai,"49 Lac5,338 per sqft",918 sqft,NAN,Ready to Move,1 out of 2,Resale,Unfurnished,NAN,NAN,NAN,NAN,2,1,NAN,NAN
149,3 BHK Apartment for Sale in Tiru Vi Ka Nagar Perambur Chennai,"95 Lac7,037 per sqft",NAN,1350 sqft,NAN,2 out of 3,Resale,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
150,2 BHK Apartment for Sale in Urapakkam Chennai,"59 Lac5,306 per sqft",930 sqft,NAN,Ready to Move,11 out of 13,Resale,Unfurnished,NAN,NAN,NAN,NAN,2,3,NAN,NAN
151,2 BHK Apartment for Sale in Anbu Nagar Valasaravakkam Chennai,"75 Lac8,197 per sqft",745 sqft,NAN,Ready to Move,1 out of 3,New Property,Unfurnished,North,NAN,Freehold,NAN,2,1,Main Road,NAN
152,3 BHK Apartment for Sale in Vanagaram Chennai,99 Lac,1585 sqft,NAN,Ready to Move,4 out of 5,Resale,Furnished,South -West,NAN,Freehold,2 Covered,3,2,Garden/Park,NAN
153,2 BHK Apartment for Sale in Villivakkam Chennai,"79.5 Lac8,500 per sqft",750 sqft,NAN,Ready to Move,1 out of 3,Resale,Unfurnished,NAN,NAN,NAN,NAN,2,2,NAN,NAN
154,2 BHK Apartment for Sale in Koyambedu Chennai,"79.9 Lac8,500 per sqft",800 sqft,NAN,Ready to Move,1 out of 3,Resale,Unfurnished,East,NAN,Freehold,1 Covered,2,2,Garden/Park,NAN
155,2 BHK Apartment for Sale in Perumbakkam Chennai,"60.4 Lac5,503 per sqft",815 sqft,NAN,NAN,1 out of 3,Resale,Unfurnished,East,NAN,Freehold,1 Covered,2,1,"Garden/Park, Main Road",Poss. by Jul '24
156,2 BHK Apartment for Sale in Ganapathipuram Chromepet Chennai,"65 Lac8,291 per sqft",700 sqft,NAN,Ready to Move,Ground out of 2,Resale,Furnished,North,NAN,Freehold,NAN,2,NAN,Main Road,NAN
157,2 BHK Apartment for Sale in TNHB Scheme Seniamman koil Street Karumari amman nagar Tondiarpet Chennai 600081 Chennai,"35 Lac5,072 per sqft",389 sqft,NAN,Ready to Move,Ground out of 3,Resale,Unfurnished,East,NAN,Freehold,NAN,2,NAN,"Garden/Park, Main Road",NAN
158,2 BHK Apartment for Sale in Virugambakkam Chennai,"1.34 Cr12,500 per sqft",NAN,1078 sqft,NAN,1 out of 5,Resale,Unfurnished,North - West,NAN,Freehold,1 Covered,2,1,"Garden/Park, Main Road",Poss. by Jul '25
159,2 BHK Builder Floor for Sale in Camp Road Chennai,"32 Lac4,571 per sqft",671 sqft,NAN,NAN,1 out of 2,New Property,Unfurnished,North,NAN,Freehold,1 Covered,2,1,"Garden/Park, Main Road",Poss. by Aug '24
160,2 BHK Apartment for Sale in Kannappa Nagar Thiruvanmiyur Chennai,"1.10 Cr9,778 per sqft",980 sqft,NAN,Ready to Move,1 out of 3,New Property,Semi-Furnished,East,NAN,Freehold,"1 Covered,",2,1,"Garden/Park, Main Road",NAN
161,3 BHK Apartment for Sale in Adyar Chennai,"3 Cr13,636 per sqft",2000 sqft,NAN,Ready to Move,1 out of 4,Resale,Semi-Furnished,East,NAN,Freehold,2 Covered,3,3,Main Road,NAN
162,2 BHK Builder Floor for Sale in Guduvancheri Chennai,"42 Lac4,300 per sqft",NAN,976 sqft,NAN,2 out of 3,New Property,Unfurnished,East,NAN,Freehold,1 Covered,2,2,Main Road,Poss. by Oct '24
163,1 BHK Apartment for Sale in Virugambakkam Chennai,"58 Lac10,662 per sqft",417 sqft,NAN,Ready to Move,3 out of 3,Resale,Furnished,South,NAN,Freehold,1 Covered,1,NAN,NAN,NAN
164,3 BHK Builder Floor for Sale in Mudichur Road Chennai,"62 Lac4,740 per sqft",1308 sqft,NAN,Ready to Move,1 out of 1,Resale,Unfurnished,East,NAN,Freehold,NAN,3,1,Main Road,NAN
165,4 BHK Apartment for Sale in Thoraipakkam Chennai,"2.30 Cr10,683 per sqft",1550 sqft,NAN,Ready to Move,9 out of 14,Resale,Furnished,West,NAN,Freehold,2 Covered,4,2,"Garden/Park, Pool",NAN
166,2 BHK Apartment for Sale in Saidapet Chennai,"93 Lac9,708 per sqft",958 sqft,NAN,Ready to Move,3 out of 3,Resale,Semi-Furnished,South,NAN,Freehold,1 Open,2,1,"Garden/Park, Main Road",NAN
167,3 BHK Apartment for Sale in Kilpauk Chennai,"2.50 Cr16,234 per sqft",1340 sqft,NAN,NAN,1 out of 3,New Property,Unfurnished,East,NAN,Freehold,1 Covered,3,1,Main Road,Poss. by Sep '24
168,2 BHK Apartment for Sale in Mahindra World City Chennai,"59 Lac4,917 per sqft",909 sqft,NAN,Ready to Move,1 out of 12,New Property,Unfurnished,East,NAN,Freehold,1 Covered,2,1,"Garden/Park, Pool",NAN
169,3 BHK Apartment for Sale in Perungudi Chennai,"72 Lac5,509 per sqft",980 sqft,NAN,Ready to Move,4 out of 4,Resale,Semi-Furnished,NAN,NAN,Freehold,1 Covered,3,3,"Garden/Park, Main Road",NAN
170,4 BHK Apartment for Sale in Lotus Colony Nandanam Chennai,"1.25 Cr9,259 per sqft",NAN,1350 sqft,Ready to Move,1 out of 3,Resale,Unfurnished,NAN,NAN,NAN,NAN,4,NAN,NAN,NAN
171,2 BHK Builder Floor for Sale in Kalakshetra Colony Chennai,"1.39 Cr13,790 per sqft",NAN,1008 sqft,NAN,1 out of 3,Resale,Unfurnished,East,NAN,Freehold,NAN,2,1,NAN,Poss. by Aug '24
172,3 BHK Apartment for Sale in Gerugambakkam Chennai,"1.25 Cr10,946 per sqft",1000 sqft,NAN,NAN,3 out of 3,Resale,Unfurnished,West,NAN,Freehold,NAN,3,1,Main Road,Poss. by Jul '24
173,2 BHK Apartment for Sale in Chromepet Chennai,"70 Lac6,295 per sqft",950 sqft,NAN,Ready to Move,2 out of 2,Resale,Furnished,NAN,NAN,NAN,NAN,2,1,NAN,NAN
174,2 BHK Apartment for Sale in Mandaveli Chennai,"1.75 Cr16,509 per sqft",NAN,1060 sqft,Ready to Move,1 out of 3,Resale,Unfurnished,East,NAN,Freehold,NAN,2,1,Main Road,NAN
175,2 BHK Builder Floor for Sale in Tambaram Chennai,"45.1 Lac4,450 per sqft",677 sqft,NAN,Ready to Move,1 out of 3,New Property,NAN,North,NAN,Freehold,1 Covered,2,1,NAN,NAN
176,2 BHK Apartment for Sale in Pattara Vakkam Chennai,"42 Lac5,497 per sqft",NAN,764 sqft,Ready to Move,1 out of 3,Resale,Unfurnished,North,NAN,Freehold,NAN,2,NAN,Main Road,NAN
177,2 BHK Builder Floor for Sale in Kovur Chennai,"37 Lac5,139 per sqft",620 sqft,NAN,Ready to Move,2 out of 2,Resale,Unfurnished,East,NAN,Freehold,1 Open,1,NAN,"Garden/Park, Main Road",NAN
178,1 BHK Apartment for Sale in Vengaivasal Medavakkam Chennai,"37.7 Lac5,537 per sqft",560 sqft,NAN,Ready to Move,1 out of 1,New Property,Unfurnished,East,NAN,Freehold,NAN,1,1,Main Road,NAN
179,3 BHK Builder Floor for Sale in Maxworth Nagar Chennai,"1.20 Cr7,500 per sqft",1607 sqft,NAN,Ready to Move,1 out of 2,Resale,Semi-Furnished,West,NAN,Freehold,2 Covered,3,1,NAN,NAN
180,2 BHK Builder Floor for Sale in Ambattur Chennai,"42 Lac4,118 per sqft",820 sqft,NAN,Ready to Move,Ground out of 2,Resale,Unfurnished,North,NAN,Freehold,NAN,2,NAN,Garden/Park,NAN
