BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
3,Chromepet,0.85,7798,1090.0,2,Unfurnished,North,May be not,2,1,,chennai
3,others,2.70,11250,2400.0,2,Furnished,North,available,3,1,Pool,chennai
2,others,0.61,6237,978.0,2,Unfurnished,West,May be not,2,1,Main Road,chennai
3,Thiruvanmiyur,1.70,11333,1500.0,0,Semi-Furnished,South,available,3,1,Main Road,chennai
1,others,0.32,,609.0,1,Unfurnished,East,May be not,1,1,,chennai
3,others,0.5,4167,1200.0,1,Unfurnished,,May be not,2,1,,chennai
1,others,0.325,5603,580.0,8,Semi-Furnished,North,available,1,4+,"Garden/Park, Pool, Main Road",chennai
2,others,0.65,5471,1188.0,2,Unfurnished,East,May be not,2,1,Main Road,chennai
3,others,2.65,11532,2298.0,3,Semi-Furnished,East,available,3,3,"Garden/Park, Main Road",chennai
2,others,0.52,6118,850.0,1,Unfurnished,North,May be not,2,4+,Garden/Park,chennai
2,others,1.85,17290,1070.0,2,Semi-Furnished,East,May be not,2,3,"Garden/Park, Main Road",chennai
2,others,0.35000000000000003,5224,670.0,2,Semi-Furnished,East,available,1,4+,"Garden/Park, Main Road",chennai
4,Kilpauk,2.60,12381,2100.0,0,Semi-Furnished,East,available,4,2,"Garden/Park, Main Road",chennai
2,others,0.43,3759,1144.0,2,Semi-Furnished,East,available,2,1,"Garden/Park, Main Road",chennai
2,others,1.55,13102,1183.0,3,Semi-Furnished,North,available,2,4+,"Garden/Park, Main Road",chennai
3,Velachery,0.8,6628,1207.0,1,Semi-Furnished,North,available,2,4+,"Garden/Park, Main Road",chennai
2,others,2.20,17558,1253.0,1,Semi-Furnished,East,available,2,2,"Garden/Park, Main Road",chennai
2,Urapakkam,0.3,4688,640.0,2,Semi-Furnished,East,available,2,1,,chennai
2,Madipakkam,0.62,6695,926.0,2,Semi-Furnished,North,available,2,1,"Garden/Park, Main Road",chennai
2,Kolathur,0.58,,739.0,2,Semi-Furnished,East,available,2,2,Garden/Park,chennai
1,Perambur,0.3,5814,516.0,2,Semi-Furnished,East,May be not,1,4+,"Garden/Park, Main Road",chennai
2,others,0.9500000000000001,8225,1155.0,1,Semi-Furnished,South,May be not,2,1,Garden/Park,chennai
2,others,0.8,6426,1245.0,1,Semi-Furnished,North,May be not,2,2,Main Road,chennai
2,others,0.37,5873,630.0,2,Semi-Furnished,East,available,2,4+,Garden/Park,chennai
4,others,2.85,11875,2400.0,2,Semi-Furnished,East,May be not,4,1,Main Road,chennai
2,others,0.65,7454,872.0,2,Unfurnished,South,May be not,2,1,"Garden/Park, Main Road",chennai
2,Guduvancheri,0.41000000000000003,5081,807.0,2,Semi-Furnished,North,available,2,1,"Garden/Park, Main Road",chennai
1,others,0.54,8504,635.0,1,Semi-Furnished,East,May be not,1,1,Main Road,chennai
3,others,3,16456,1823.0,1,Unfurnished,West,available,3,2,Garden/Park,chennai
2,others,0.6,5455,1100.0,2,Semi-Furnished,North,available,1,2,Main Road,chennai
2,others,0.493,5000,986.0,1,Unfurnished,North,May be not,2,1,"Garden/Park, Main Road",chennai
3,others,0.7000000000000001,5185,1350.0,0,Unfurnished,,available,2,4+,,chennai
2,others,0.6,8571,700.0,1,Semi-Furnished,,May be not,2,1,,chennai
2,Madipakkam,0.3,3896,770.0,1,Unfurnished,South,May be not,2,1,,chennai
2,others,0.45,5294,850.0,2,Semi-Furnished,,May be not,2,2,,chennai
3,others,2,16667,1200.0,3,Unfurnished,,May be not,3,3,,chennai
2,others,1.98,22222,891.0,1,Semi-Furnished,East,May be not,2,1,Main Road,chennai
2,others,0.59,5900,1000.0,1,Semi-Furnished,,May be not,2,4+,,chennai
1,others,0.21,4200,500.0,0,Unfurnished,East,May be not,1,4+,,chennai
3,others,1.50,8671,1730.0,1,Furnished,,May be not,3,2,,chennai
3,others,3,14535,2064.0,1,Unfurnished,South - East,May be not,3,2,Main Road,chennai
2,others,0.42,5833,720.0,2,Semi-Furnished,South,May be not,2,2,Main Road,chennai
3,Padur,0.79,5623,1405.0,1,Semi-Furnished,North - East,available,3,2,Main Road,chennai
4,others,7,22222,3150.0,1,Unfurnished,East,May be not,4,1,Main Road,chennai
2,others,0.48,6400,750.0,2,Semi-Furnished,,available,2,2,,chennai
3,others,0.469,4412,1063.0,4,Unfurnished,East,available,3,2,"Garden/Park, Pool, Main Road",chennai
3,Anna Nagar,3.40,18000,1891.0,3,Unfurnished,East,available,3,1,Main Road,chennai
1,others,0.207,3999,518.0,2,Semi-Furnished,East,May be not,1,1,"Garden/Park, Main Road",chennai
2,Thoraipakkam,0.5700000000000001,6500,877.0,3,Semi-Furnished,North,available,2,1,Main Road,chennai
3,others,0.779,6492,1200.0,2,Unfurnished,East,available,2,1,Main Road,chennai
3,others,2.10,11932,1760.0,1,Semi-Furnished,East,May be not,3,3,,chennai
1,Kelambakkam,0.19,3455,550.0,3,Semi-Furnished,South,available,1,4+,"Garden/Park, Main Road",chennai
2,others,0.31,3959,783.0,2,Unfurnished,North,May be not,2,1,Main Road,chennai
3,others,0.315,3281,960.0,1,Furnished,North - West,available,3,1,Main Road,chennai
3,Medavakkam,0.79,5850,1350.0,2,Unfurnished,East,available,2,1,Main Road,chennai
4,Manapakkam,2.26,10463,2160.0,3,Unfurnished,East,May be not,3,2,,chennai
2,others,1.12,10467,1070.0,1,Semi-Furnished,South,available,2,4+,"Garden/Park, Main Road",chennai
3,others,3.25,18289,1777.0,1,Semi-Furnished,West,available,3,2,Main Road,chennai
