,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
325,3 BHK Apartment for Sale in Whitefield Bangalore,"4.30 Cr15,619 per sqft",NAN,2753 sqft,NAN,9 out of 30,Resale,Unfurnished,East,NAN,Freehold,NAN,3,1,Garden/Park,Poss. by Dec '24
326,5 BHK Builder Floor for Sale in Venkatapura HSR Layout Bangalore,"2.80 Cr23,333 per sqft",1100 sqft,NAN,Ready to Move,5 out of 5,Resale,Semi-Furnished,South - East,NAN,Freehold,NAN,5,NAN,Main Road,NAN
327,3 BHK Apartment for Sale in Rajajinagar Bangalore,"7.88 Cr29,425 per sqft",1800 sqft,NAN,Ready to Move,9 out of 30,New Property,Semi-Furnished,East,NAN,Freehold,2 Covered,4,3,Garden/Park,NAN
328,2 BHK Apartment for Sale in Mallappa Layout Hennur Gardens Bangalore,"88 Lac6,902 per sqft",NAN,1275 sqft,Ready to Move,2 out of 5,Resale,Semi-Furnished,West,NAN,Freehold,1 Covered,2,2,Garden/Park,NAN
329,3 BHK Apartment for Sale in Phase 3rd JP Nagar Bangalore,"74.5 Lac5,266 per sqft",1132 sqft,NAN,NAN,1 out of 4,New Property,Unfurnished,East,NAN,Freehold,1 Covered,2,2,Main Road,Poss. by Mar '25
330,5 BHK Penthouse for Sale in Frazer town Bangalore,"9.50 Cr16,964 per sqft",4600 sqft,NAN,Ready to Move,15 out of 22,New Property,Unfurnished,East,NAN,Freehold,4 Covered,5,4,"Garden/Park, Pool, Main Road",NAN
331,4 BHK Penthouse for Sale in Srinivaspur Bangalore,"5 Cr20,833 per sqft",1940 sqft,NAN,Ready to Move,2 out of 2,Resale,Unfurnished,North - East,NAN,Freehold,NAN,4,3,"Pool, Main Road",NAN
332,3 BHK Apartment for Sale in Yelahanka New Town Bangalore,"1.12 Cr7,330 per sqft",1227 sqft,NAN,Ready to Move,4 out of 4,New Property,Unfurnished,North,NAN,Freehold,1 Covered,3,3,Main Road,NAN
333,3 BHK Apartment for Sale in Hennur Main Road Bangalore,"98 Lac5,802 per sqft",NAN,1689 sqft,Ready to Move,2 out of 4,New Property,Semi-Furnished,East,NAN,NAN,1 Covered,3,2,NAN,NAN
334,3 BHK Apartment for Sale in Block 4th Jayanagar Bangalore,"6 Cr25,000 per sqft",2100 sqft,NAN,Ready to Move,4 out of 9,New Property,Unfurnished,East,NAN,Freehold,1 Covered,3,2,"Garden/Park, Main Road",NAN
335,"2 BHK Apartment for Sale in Cooke Town, Cooke Town Bangalore","90 Lac6,923 per sqft",1200 sqft,NAN,Ready to Move,1 out of 4,Resale,Semi-Furnished,North - East,NAN,Freehold,NAN,2,3,"Pool, Garden/Park, Main Road",NAN
336,"4 BHK Apartment for Sale in Jakkuru Layout, Jakkuru Bangalore",7.50 Cr,4200 sqft,NAN,Ready to Move,5 out of 18,Resale,Furnished,West,NAN,Freehold,2 Covered,4,5,"Pool, Garden/Park",NAN
337,3 BHK Apartment for Sale in Rajajinagar Bangalore,"7 Cr26,139 per sqft",NAN,2678 sqft,Ready to Move,12 out of 30,New Property,Unfurnished,East,NAN,Freehold,2 Covered,4,3,Garden/Park,NAN
338,4 BHK Apartment for Sale in regency flamingo Bangalore,"5 Cr13,947 per sqft",NAN,3585 sqft,Ready to Move,2 out of 5,Resale,Unfurnished,East,NAN,Freehold,NAN,4,3,NAN,NAN
339,3 BHK Apartment for Sale in Binny Pete Bangalore,"1.85 Cr9,635 per sqft",1800 sqft,NAN,Ready to Move,Ground out of 30,New Property,Semi-Furnished,East,NAN,Freehold,"2 Covered,",3,1,"Garden/Park, Pool",NAN
340,3 BHK Apartment for Sale in Sathanur Bangalore,"1.10 Cr7,612 per sqft",1289 sqft,NAN,Ready to Move,17 out of 21,New Property,Unfurnished,East,NAN,Freehold,NAN,2,2,"Garden/Park, Pool, Main Road",NAN
341,3 BHK Apartment for Sale in Prakruthi Nagar Kogilu Bangalore,"1.29 Cr9,181 per sqft",1105 sqft,NAN,Ready to Move,5 out of 11,New Property,Unfurnished,East,NAN,Freehold,1 Covered,3,1,Main Road,NAN
342,2 BHK Apartment for Sale in Krishnarajapura Bangalore,"78 Lac7,059 per sqft",884 sqft,NAN,Ready to Move,3 out of 5,Resale,Furnished,North - West,NAN,Freehold,1 Covered,2,NAN,Garden/Park,NAN
343,2 BHK Apartment for Sale in HSR Extension Bangalore,1.04 Cr,1230 sqft,NAN,Ready to Move,1 out of 5,New Property,Furnished,North,NAN,Freehold,1 Covered,3,2,"Garden/Park, Pool, Main Road",NAN
344,3 BHK Apartment for Sale in Hennur Main Road Bangalore,"1.75 Cr8,979 per sqft",1600 sqft,NAN,Ready to Move,3 out of 12,Resale,Unfurnished,East,NAN,Freehold,NAN,3,1,"Garden/Park, Main Road",NAN
345,3 BHK Apartment for Sale in Kanakapura Road Bangalore,"88 Lac6,697 per sqft",900 sqft,NAN,Ready to Move,11 out of 13,Resale,Unfurnished,East,NAN,Freehold,1 Covered,3,2,Garden/Park,NAN
346,4 BHK Penthouse for Sale in Hebbal Kempapura Bangalore,"3.70 Cr9,024 per sqft",3750 sqft,NAN,Ready to Move,17 out of 20,Resale,Semi-Furnished,East,NAN,Freehold,NAN,5,5,"Garden/Park, Pool, Main Road",NAN
347,2 BHK Apartment for Sale in Rustam Bagh Layout Bangalore,"1.10 Cr9,167 per sqft",NAN,1200 sqft,Ready to Move,2 out of 6,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
348,2 BHK Apartment for Sale in Singapura Bangalore,"53 Lac4,609 per sqft",NAN,1150 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
349,2 BHK Apartment for Sale in Ramamurthi Nagar Main Road Bangalore,"65 Lac5,752 per sqft",990 sqft,NAN,Ready to Move,5 out of 6,Resale,Semi-Furnished,East,NAN,Freehold,1 Covered,2,1,Garden/Park,NAN
350,2 BHK Apartment for Sale in Marathahalli Bangalore,"1.50 Cr10,345 per sqft",1368 sqft,NAN,Ready to Move,3 out of 3,Resale,Semi-Furnished,East,NAN,Freehold,NAN,2,2,"Garden/Park, Main Road",NAN
351,2 BHK Apartment for Sale in Hoyasala nagar Bangalore,"51 Lac4,435 per sqft",850 sqft,NAN,Ready to Move,4 out of 5,Resale,Furnished,East,NAN,Freehold,NAN,2,1,Main Road,NAN
352,4 BHK Apartment for Sale in Gandhi Bazaar Bangalore,"3 Cr15,424 per sqft",1600 sqft,NAN,Ready to Move,1 out of 4,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
353,"3 BHK Apartment for Sale in Nobo Nagar, Kalena Agrahara Bangalore","55 Lac5,000 per sqft",NAN,1100 sqft,Ready to Move,Ground out of 4,Resale,Semi-Furnished,West,NAN,Freehold,NAN,2,1,NAN,NAN
354,2 BHK Apartment for Sale in Bangalore,"1.12 Cr9,589 per sqft",900 sqft,NAN,Ready to Move,18 out of 19,Resale,Semi-Furnished,North,NAN,NAN,NAN,2,1,"Garden/Park, Main Road",NAN
355,2 BHK Apartment for Sale in Panchajanya Appartment Bangalore,"75 Lac6,522 per sqft",NAN,1150 sqft,Ready to Move,3 out of 4,Resale,Furnished,North - East,NAN,NAN,NAN,2,2,NAN,NAN
