BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
2,others,3.24,18000,1800.0,10+,Semi-Furnished,,,2,1,,Gurgaon
3,Sector 51,3,11278,2660.0,2,Unfurnished,East,1 Covered,4,4,"Garden/Park, Pool, Main Road",Gurgaon
3,Sector 89,1.28,9032,1423.0,1,Semi-Furnished,North - East,1 Covered,3,3,"Garden/Park, Pool, Main Road",Gurgaon
4,others,2.40,8817,2722.0,1,Semi-Furnished,East,1 Covered,4,4,"Garden/Park, Main Road",Gurgaon
3,others,4,18850,2122.0,10+,Furnished,North - West,11 Covered,3,4,Main Road,Gurgaon
3,Sector 79,2.91,12933,2250.0,10+,Unfurnished,East,1 Covered,3,3,"Garden/Park, Pool, Main Road",Gurgaon
3,Sector 106,4.15,16939,2450.0,3,Semi-Furnished,North - East,"2 Covered,",4,3,"Garden/Park, Pool",Gurgaon
3,Sector 59,5.45,23747,2295.0,10+,Semi-Furnished,North - East,2 Covered,3,3,Garden/Park,Gurgaon
3,Sector 26,2.45,13611,1800.0,3,Semi-Furnished,West,2 Covered,3,2,"Garden/Park, Main Road",Gurgaon
4,Sector 113,3.70,14247,2597.0,9,Semi-Furnished,North - East,2 Covered,4+,4,"Garden/Park, Pool",Gurgaon
2,Sector 79,1.80,12676,1420.0,10+,Semi-Furnished,East,1 Covered,2,3,Garden/Park,Gurgaon
3,others,3.95,19064,2072.0,10+,Semi-Furnished,North - East,2 Covered,4,4,"Pool, Garden/Park, Main Road",Gurgaon
3,others,1.60,16000,1000.0,8,Semi-Furnished,North - West,,2,3,Garden/Park,Gurgaon
3,Sector 59,4.70,20479,2295.0,10+,Unfurnished,North - East,2 Covered,4+,3,Garden/Park,Gurgaon
3,Sector 85,2.50,13699,1825.0,10+,Semi-Furnished,North - East,"1 Covered,",3,3,"Garden/Park, Pool, Main Road",Gurgaon
3,others,4.80,19177,2503.0,9,Unfurnished,South -West,,3,3,"Garden/Park, Pool",Gurgaon
3,Sector 43,6.60,22965,2874.0,10+,Semi-Furnished,North - East,"2 Covered,",4,3,"Garden/Park, Pool",Gurgaon
4,others,8.15,22123,3684.0,10+,Semi-Furnished,North - East,"3 Covered,",4+,4,"Garden/Park, Pool",Gurgaon
3,Sector 79,2,13089,1528.0,2,Semi-Furnished,North,2 Covered,3,3,"Garden/Park, Pool, Main Road",Gurgaon
