,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
995,"3 BHK Apartment for Sale in Tata La Vida, Sector 113 Gurgaon","3.55 Cr13,192 per sqft",NAN,2691 sqft,Ready to Move,21 out of 25,Resale,Unfurnished,NAN,Tata La Vida,NAN,NAN,4,3,NAN,NAN
996,"4 BHK Builder Floor for Sale in Ardee City, Sector 52 Gurgaon","3.65 Cr13,519 per sqft",NAN,2700 sqft,Ready to Move,2 out of 4,Resale,Furnished,NAN,Ardee City,NAN,NAN,4,3,NAN,NAN
997,"3 BHK Apartment for Sale in ROF Aalayas, Sector 102 Gurgaon","55 Lac4,783 per sqft",645 sqft,NAN,Ready to Move,8 out of 14,Resale,Semi-Furnished,NAN,ROF Aalayas,NAN,NAN,2,1,NAN,NAN
998,"3 BHK Apartment for Sale in Vatika Lifestyle Homes, Sector 83 Gurgaon","1.55 Cr8,857 per sqft",1400 sqft,NAN,Ready to Move,4 out of 19,Resale,Semi-Furnished,North - East,Vatika Lifestyle Homes,Freehold,"1 Covered,",2,2,"Garden/Park, Main Road",NAN
999,"1 BHK Apartment for Sale in AVL 36 Gurgaon, Sector 36A Gurgaon","40 Lac10,000 per sqft",NAN,400 sqft,Ready to Move,5 out of 18,Resale,Unfurnished,NAN,AVL 36 Gurgaon,NAN,NAN,1,NAN,NAN,NAN
1000,"3 BHK Apartment for Sale in Ramprastha The Rise, Garauli Khurd, Sector 37D, Delhi Gurgaon Expressway Gurgaon","97.1 Lac5,500 per sqft",NAN,1765 sqft,NAN,8 out of 20,New Property,Unfurnished,NAN,Ramprastha The Rise,Freehold,1 Covered,3,3,NAN,NAN
1001,"2 BHK Apartment for Sale in Supertech Araville, Sector 79 Gurgaon",1.10 Cr,1530 sqft,NAN,Ready to Move,16 out of 17,Resale,Furnished,NAN,Supertech Araville,NAN,1 Covered,2,3,"Garden/Park, Pool",NAN
1002,3 BHK Builder Floor for Sale in Phase 1 DLF Gurgaon,"3.90 Cr16,596 per sqft",NAN,2350 sqft,Ready to Move,2 out of 2,Resale,Semi-Furnished,South,NAN,Freehold,2 Open,3,4,Main Road,NAN
1003,"3 BHK Apartment for Sale in Signature Global Park 4 and 5, Sector 36 Sohna Gurgaon","90 Lac8,326 per sqft",NAN,1081 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,East,Signature Global Park 4 and 5,NAN,NAN,2,1,"Garden/Park, Pool, Main Road",NAN
1004,"3 BHK Apartment for Sale in M3M Golf Estate, Sector 65 Gurgaon","6.31 Cr17,045 per sqft",2500 sqft,NAN,Ready to Move,4 out of 6,Resale,Semi-Furnished,East,M3M Golf Estate,Freehold,"2 Covered,",4,2,"Garden/Park, Pool, Main Road",NAN
