index,BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
236.0,2,others,0.6,5000.0,1200.0,5,Unfurnished,North,not sure,2,2,Main Road,Hydrabad
237.0,3,Puppalguda,1.5,8021.0,1870.0,4,Semi-Furnished,North,available,2,1,Main Road,Hydrabad
238.0,2,others,0.53,4609.0,1150.0,3,Unfurnished,West,not sure,2,1,Main Road,Hydrabad
239.0,3,NH 9,1.12,8582.0,1305.0,1,Unfurnished,East,available,3,2,Main Road,Hydrabad
240.0,3,others,1.75,10606.0,1650.0,1,Semi-Furnished,East,available,3,3,Main Road,Hydrabad
241.0,2,others,0.65,6019.0,1080.0,1,Semi-Furnished,West,available,2,2,Main Road,Hydrabad
242.0,3,Nizampet,0.865,4494.0,1925.0,1,Furnished,South,available,3,3,Main Road,Hydrabad
243.0,3,others,1.6,6400.0,2500.0,4,Unfurnished,East,available,3,1,Main Road,Hydrabad
244.0,3,others,1.5,6522.0,2300.0,2,Unfurnished,East,not sure,3,3,Main Road,Hydrabad
245.0,3,Kompally,1.3,8525.0,1525.0,8,Unfurnished,North,available,2,2,"Garden/Park, Main Road",Hydrabad
246.0,2,others,0.55,4911.0,1120.0,5,Semi-Furnished,South,not sure,2,2,Main Road,Hydrabad
247.0,3,Narsingi,0.85,6538.0,1300.0,4,Unfurnished,East,not sure,2,1,Main Road,Hydrabad
248.0,3,others,0.95,4657.0,2040.0,3,Unfurnished,East,not sure,3,1,Main Road,Hydrabad
249.0,3,others,2.05,11988.0,1710.0,5,Semi-Furnished,East,not sure,3,2,Main Road,Hydrabad
250.0,2,Nizampet,0.6,6000.0,1000.0,4,Semi-Furnished,West,available,2,1,Main Road,Hydrabad
251.0,3,NH 9,1.9,10597.0,1793.0,4,Unfurnished,West,available,3,1,Garden/Park,Hydrabad
252.0,2,Miyapur,0.6,5455.0,1100.0,2,Unfurnished,East,not sure,2,1,Main Road,Hydrabad
253.0,2,others,0.55,5446.0,1010.0,1,Unfurnished,East,not sure,2,3,Main Road,Hydrabad
254.0,3,others,1.2,7059.0,1700.0,2,Semi-Furnished,East,available,3,3,Main Road,Hydrabad
255.0,3,others,0.65,4268.0,1523.0,4,Unfurnished,North - East,not sure,2,2,Main Road,Hydrabad
