,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
345,"4 BHK Apartment for Sale in Rustomjee Crown Phase II, Prabhadevi Mumbai","15 Cr42,135 per sqft",2158 sqft,NAN,NAN,36 out of 72,New Property,Unfurnished,North,Rustomjee Crown Phase II,Freehold,3 Covered,5,NAN,"Garden/Park, Pool, Main Road",NAN
346,"2 BHK Apartment for Sale in North Barcelona , Mira Road East Mumbai","1.05 Cr14,000 per sqft",NAN,750 sqft,NAN,11 out of 30,New Property,Unfurnished,North - East,North Barcelona,NAN,NAN,2,4,"Garden/Park, Pool, Main Road",Poss. by Apr '25
347,"3 BHK Apartment for Sale in Transcon Triumph Tower 4, Veera Desai Industrial Estate Mumbai","4.43 Cr40,273 per sqft",1031 sqft,NAN,NAN,20 out of 34,New Property,Semi-Furnished,North - East,Transcon Triumph Tower 4,Freehold,"1 Covered,",3,2,"Garden/Park, Pool, Main Road",Poss. by Dec '26
348,1 BHK Apartment for Sale in Borivali West Mumbai,"1.53 Cr34,076 per sqft",449 sqft,NAN,NAN,7 out of 17,New Property,Unfurnished,East,NAN,Co-operative Society,1 Covered,1,NAN,Garden/Park,Poss. by Dec '26
349,2 BHK Apartment for Sale in Dr Ambedkar Road Mumbai,"3.40 Cr31,481 per sqft",890 sqft,NAN,NAN,16 out of 33,New Property,Unfurnished,North - East,NAN,Freehold,1 Covered,2,3,"Garden/Park, Main Road",Poss. by Mar '25
350,1 BHK Apartment for Sale in Liberty Garden Mumbai,"1.08 Cr15,084 per sqft",442 sqft,NAN,NAN,32 out of 48,New Property,Unfurnished,East,NAN,Freehold,1 Covered,2,NAN,"Garden/Park, Main Road",Poss. by Jun '27
351,"3 BHK Apartment for Sale in Dotom Hilton, Ram Nagar Borivali West Mumbai","2.89 Cr29,000 per sqft",997 sqft,NAN,NAN,10 out of 23,New Property,Unfurnished,East,Dotom Hilton,Freehold,1 Covered,4,NAN,Garden/Park,Poss. by Aug '27
352,"3 BHK Apartment for Sale in Hiranandani Empress Hill, Powai Mumbai","6.62 Cr51,041 per sqft",1297 sqft,NAN,NAN,Ground out of 20,New Property,Semi-Furnished,North - East,Hiranandani Empress Hill,Leasehold,2 Covered,3,2,"Garden/Park, Pool, Main Road",Poss. by Dec '27
353,"6 BHK Apartment for Sale in Rustomjee Crown, Prabhadevi Mumbai","21.75 Cr45,455 per sqft",2900 sqft,NAN,NAN,40 out of 65,New Property,Unfurnished,North - East,Rustomjee Crown,Freehold,4 Covered,10,NAN,Garden/Park,Poss. by Dec '24
354,"4 BHK Apartment for Sale in Rustomjee Crown, Prabhadevi Mumbai","14.75 Cr70,238 per sqft",2100 sqft,NAN,NAN,57 out of 70,New Property,Semi-Furnished,East,Rustomjee Crown,Freehold,3 Covered,4,NAN,"Garden/Park, Main Road",NAN
355,"2 BHK Apartment for Sale in Elixir Reserve, Central Area Mumbai","2.80 Cr26,667 per sqft",850 sqft,NAN,NAN,7 out of 20,New Property,Semi-Furnished,East,Elixir Reserve,Freehold,1 Covered,2,1,"Garden/Park, Pool, Main Road",Poss. by Jun '26
356,"3 BHK Apartment for Sale in Rustomjee Crown, Prabhadevi Mumbai",9.80 Cr,1335 sqft,NAN,NAN,25 out of 67,New Property,Unfurnished,East,Rustomjee Crown,Co-operative Society,2 Covered,4,NAN,Garden/Park,Poss. by Dec '24
357,"2 BHK Apartment for Sale in Godrej Nest, Kandivali East Mumbai","1.60 Cr16,000 per sqft",606 sqft,NAN,NAN,NAN,New Property,Semi-Furnished,East,Godrej Nest,Freehold,1 Covered,2,NAN,NAN,Poss. by Dec '24
358,1 BHK Apartment for Sale in Khar West Mumbai,"1.94 Cr45,000 per sqft",432 sqft,NAN,NAN,3 out of 15,New Property,Unfurnished,East,NAN,Freehold,"1 Covered,",2,NAN,Main Road,Poss. by Jan '25
359,"1 BHK Apartment for Sale in DEM Phoenix, Malad East Mumbai","82 Lac16,907 per sqft",375 sqft,NAN,NAN,9 out of 23,Resale,Semi-Furnished,North - East,DEM Phoenix,Freehold,1 Covered,1,NAN,"Garden/Park, Main Road",Poss. by Oct '25
