BHK,sector,price,price_persqft,SuperArea,Floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
3,others,1.84,9000,2050.0,8,Unfurnished,West,May be not,3,1,"Pool, Garden/Park, Main Road",Hydrabad
2,others,1.15,9200,1250.0,6,Unfurnished,East,available,2,1,Main Road,Hydrabad
3,others,1.4,7376,1898.0,10+,Unfurnished,North,available,3,1,"Garden/Park, Pool, Main Road",Hydrabad
3,others,1.8,9052,1991.0,10+,Unfurnished,East,available,3,1,"Garden/Park, Main Road",Hydrabad
3,Kokapet,1.95,11370,1715.0,10+,Semi-Furnished,East,available,3,1,Garden/Park,Hydrabad
3,others,1.8,8717,2065.0,4,Unfurnished,West,available,3,1,"Garden/Park, Main Road",Hydrabad
2,Puppalguda,1.3,9489,1370.0,8,Unfurnished,East,May be not,2,1,Main Road,Hydrabad
2,others,0.65,5800,1121.0,5,Unfurnished,East,available,2,2,Main Road,Hydrabad
4,Gachibowli,1.8,8372,2150.0,6,Semi-Furnished,East,May be not,3,3,,Hydrabad
3,others,0.961,6675,1440.0,2,Unfurnished,East,available,2,2,"Garden/Park, Pool, Main Road",Hydrabad
3,Kollur,1.08,5760,1875.0,5,Unfurnished,East,May be not,3,2,"Pool, Garden/Park, Main Road",Hydrabad
2,others,1.1,,1250.0,9,Unfurnished,East,available,2,1,,Hydrabad
3,Kompally,1.46,8022,1820.0,7,Unfurnished,North - West,available,3,2,Garden/Park,Hydrabad
3,Kondapur,1.24,8278,1498.0,10+,Unfurnished,East,May be not,3,2,Main Road,Hydrabad
3,Gachibowli,1.35,7204,1874.0,10+,Unfurnished,North,available,3,2,"Pool, Main Road",Hydrabad
3,Kokapet,1.62,7499,2160.0,3,Unfurnished,North,available,3,2,"Garden/Park, Pool, Main Road",Hydrabad
3,others,1.13,6950,1626.0,3,Unfurnished,East,available,3,1,"Garden/Park, Main Road",Hydrabad
3,others,1.5,7375,2034.0,6,Unfurnished,West,May be not,3,2,Main Road,Hydrabad
3,Kondapur,2.0,10256,1950.0,8,Unfurnished,East,available,3,2,Garden/Park,Hydrabad
3,Puppalguda,1.48,9136,1620.0,10+,Unfurnished,West,May be not,3,1,Garden/Park,Hydrabad
2,others,1.06,7500,1420.0,10+,Unfurnished,West,available,2,1,Garden/Park,Hydrabad
2,Outer Ring Road,0.986,7500,1315.0,9,Semi-Furnished,East,available,2,1,"Garden/Park, Pool, Main Road",Hydrabad
2,others,0.609,4700,1296.0,5,Unfurnished,East,available,2,2,"Garden/Park, Main Road",Hydrabad
3,Kollur,0.899,5499,1635.0,3,Unfurnished,East,available,3,3,Main Road,Hydrabad
3,others,3.45,11500,3000.0,10+,Unfurnished,East,May be not,3,,"Garden/Park, Pool, Main Road",Hydrabad
3,others,2.26,8500,2660.0,5,Unfurnished,North,available,3,2,,Hydrabad
3,Manikonda Jagir,0.8220000000000001,6000,1370.0,3,Semi-Furnished,North - East,available,3,2,"Garden/Park, Main Road",Hydrabad
2,others,0.774,6500,1191.0,5,Unfurnished,East,available,2,1,Garden/Park,Hydrabad
3,others,2.3,10673,2155.0,2,Semi-Furnished,West,available,3,2,Pool,Hydrabad
4,Kokapet,3.26,10000,3260.0,,Unfurnished,,May be not,4,,,Hydrabad
2,Manikonda Jagir,0.6859999999999999,5800,1183.0,3,Unfurnished,North,available,2,1,Main Road,Hydrabad
3,others,2.0,8909,2245.0,10+,Unfurnished,East,available,3,2,Garden/Park,Hydrabad
4+,Gachibowli,8.25,12500,6600.0,5,Unfurnished,East,available,4+,4+,Main Road,Hydrabad
2,Kondapur,1.47,10308,1426.0,1,Unfurnished,East,available,2,1,,Hydrabad
2,others,0.562,4683,1200.0,3,Semi-Furnished,East,available,2,2,Main Road,Hydrabad
1,others,0.5479999999999999,6257,876.0,4,Unfurnished,East,available,1,1,,Hydrabad
3,Kollur,1.63,6699,2433.0,10+,Unfurnished,West,May be not,3,2,"Garden/Park, Main Road",Hydrabad
2,others,0.514,4799,1071.0,4,Unfurnished,West,available,2,1,,Hydrabad
3,others,0.8570000000000001,5000,1714.0,9,Unfurnished,East,available,3,2,"Garden/Park, Pool, Main Road",Hydrabad
3,others,0.79,5048,1565.0,10+,Unfurnished,East,May be not,3,1,"Pool, Garden/Park, Main Road",Hydrabad
2,others,0.535,4553,1175.0,2,Unfurnished,East,available,2,2,Main Road,Hydrabad
3,Kompally,1.2,8811,1362.0,5,Furnished,West,May be not,2,2,"Garden/Park, Main Road",Hydrabad
3,others,1.24,6950,1784.0,3,Unfurnished,East,available,3,1,Main Road,Hydrabad
3,NH 9,1.75,6195,2825.0,3,Unfurnished,North,available,3,3,Main Road,Hydrabad
3,Kokapet,2.72,9500,2863.0,10+,Unfurnished,West,May be not,3,3,Main Road,Hydrabad
2,others,0.6,5000,1200.0,3,Semi-Furnished,East,available,2,1,Main Road,Hydrabad
3,others,2.33,13259,1757.0,1,Unfurnished,East,May be not,2,3,"Garden/Park, Pool",Hydrabad
3,Chanda Nagar,1.17,6700,1746.0,6,Unfurnished,West,available,3,1,Main Road,Hydrabad
3,Bandlaguda Jagir,0.902,5500,1640.0,5,Unfurnished,West,available,3,1,Main Road,Hydrabad
2,NH 9,0.59,4724,1249.0,3,Unfurnished,East,May be not,2,2,"Garden/Park, Main Road",Hydrabad
2,Kompally,0.534,4864,1098.0,3,Unfurnished,West,available,2,1,Garden/Park,Hydrabad
2,Outer Ring Road,0.65,5039,1290.0,3,Unfurnished,East,available,2,1,"Pool, Main Road",Hydrabad
3,others,1.77,7570,2338.0,9,Semi-Furnished,East,available,3,3,"Garden/Park, Pool, Main Road",Hydrabad
2,Chanda Nagar,0.6,5660,1060.0,9,Unfurnished,East,available,2,2,"Garden/Park, Pool, Main Road",Hydrabad
2,Narsingi,1.25,9434,1325.0,1,Unfurnished,West,May be not,2,1,Garden/Park,Hydrabad
2,Outer Ring Road,0.632,5099,1239.0,5,Unfurnished,East,available,2,1,"Garden/Park, Pool, Main Road",Hydrabad
2,Kondapur,1.48,9900,1495.0,10+,Unfurnished,West,available,2,1,Main Road,Hydrabad
4,Kompally,1.54,6599,2334.0,9,Unfurnished,East,available,4,3,Main Road,Hydrabad
2,Bachupally,0.584,5309,1100.0,1,Unfurnished,West,available,2,2,"Garden/Park, Main Road",Hydrabad
3,Narsingi,1.3,7182,1810.0,10+,Unfurnished,East,available,3,2,"Garden/Park, Main Road",Hydrabad
3,others,1.52,5999,2534.0,5,Unfurnished,East,available,3,1,"Garden/Park, Pool, Main Road",Hydrabad
3,Kollur,1.27,6243,2034.0,6,Unfurnished,East,available,3,2,Garden/Park,Hydrabad
3,others,0.8,4975,1608.0,1,Unfurnished,East,available,3,2,Main Road,Hydrabad
3,Narsingi,0.986,5800,1700.0,2,Unfurnished,East,available,3,2,Main Road,Hydrabad
4,Kokapet,4.99,12127,4115.0,10+,Semi-Furnished,East,available,4,2,"Pool, Main Road",Hydrabad
4,Chanda Nagar,1.97,6400,3080.0,10+,Unfurnished,West,available,4,2,Garden/Park,Hydrabad
2,Bandlaguda Jagir,0.948,7025,1349.0,7,Unfurnished,East,May be not,2,1,Garden/Park,Hydrabad
3,Kondapur,1.45,7500,1933.0,4,Unfurnished,West,available,3,2,Main Road,Hydrabad
3,others,0.866,5400,1604.0,5,Unfurnished,West,May be not,2,2,"Pool, Garden/Park, Main Road",Hydrabad
3,Kollur,0.853,4500,1896.0,1,Unfurnished,East,available,3,2,"Garden/Park, Pool, Main Road",Hydrabad
4,others,1.34,4379,3060.0,9,Semi-Furnished,West,available,4,4,"Garden/Park, Pool, Main Road",Hydrabad
2,Pragathi Nagar,0.5,4001,1250.0,9,Unfurnished,East,available,2,1,Main Road,Hydrabad
3,Outer Ring Road,1.2,6000,2000.0,5,Semi-Furnished,,May be not,3,2,,Hydrabad
3,others,1.23,7369,1669.0,10+,Unfurnished,East,May be not,3,1,Garden/Park,Hydrabad
2,Outer Ring Road,0.5,4348,1150.0,3,Unfurnished,East,available,2,1,Main Road,Hydrabad
3,others,1.37,7452,1838.0,10,Unfurnished,East,available,3,3,"Garden/Park, Pool, Main Road",Hydrabad
3,Manikonda Jagir,1.69,8921,1894.0,5,Unfurnished,East,available,3,1,"Garden/Park, Main Road",Hydrabad
3,others,1.05,6344,1655.0,8,Unfurnished,East,available,3,2,"Garden/Park, Pool",Hydrabad
3,Banjara Hills,1.22,9292,1313.0,1,Unfurnished,North - East,available,3,2,Main Road,Hydrabad
3,others,1.8,9695,1860.0,10,Unfurnished,West,available,3,2,,Hydrabad
2,others,0.6900000000000001,4999,1380.0,5,Unfurnished,East,available,2,1,"Garden/Park, Main Road",Hydrabad
3,Manikonda Jagir,1.45,7700,1883.0,10+,Unfurnished,East,available,3,2,"Pool, Main Road",Hydrabad
3,Chanda Nagar,1.5,7538,1990.0,5,Unfurnished,East,available,3,3,Main Road,Hydrabad
3,Miyapur,0.777,7000,1110.0,10+,Unfurnished,East,May be not,3,2,"Garden/Park, Pool, Main Road",Hydrabad
1,others,0.25,5556,450.0,5,Unfurnished,East,May be not,1,1,Main Road,Hydrabad
4,Banjara Hills,5.05,12625,4000.0,4,Unfurnished,East,available,4+,2,Garden/Park,Hydrabad
3,Puppalguda,1.13,6000,1890.0,6,Unfurnished,East,available,3,2,"Garden/Park, Pool, Main Road",Hydrabad
2,others,0.85,6800,1250.0,2,Unfurnished,East,available,2,1,Garden/Park,Hydrabad
2,others,0.65,6842,950.0,1,Semi-Furnished,,available,2,1,,Hydrabad
3,others,0.96,6194,1550.0,1,Unfurnished,West,available,3,2,Main Road,Hydrabad
4,Kondapur,3.31,9350,3540.0,10+,Unfurnished,East,available,4,2,Garden/Park,Hydrabad
2,Outer Ring Road,0.539,7693,701.0,1,Unfurnished,East,available,2,2,"Garden/Park, Pool, Main Road",Hydrabad
2,others,0.637,5099,1249.0,3,Unfurnished,East,available,2,1,"Pool, Garden/Park, Main Road",Hydrabad
3,others,0.9,6429,1400.0,1,Unfurnished,North,May be not,2,2,Main Road,Hydrabad
3,others,0.65,5200,1250.0,5,Semi-Furnished,,May be not,2,2,,Hydrabad
2,others,0.42200000000000004,3456,1221.0,2,Furnished,East,May be not,2,2,"Garden/Park, Main Road",Hydrabad
3,Kompally,1.5,6098,2460.0,2,Unfurnished,East,available,3,3,Main Road,Hydrabad
3,others,0.72,4737,1520.0,1,,North,available,,,Garden/Park,Hydrabad
3,others,0.9,5678,1585.0,5,Furnished,West,May be not,3,2,"Garden/Park, Pool, Main Road",Hydrabad
3,others,1.0,5263,1900.0,5,Semi-Furnished,North - East,available,2,2,Main Road,Hydrabad
3,NH 9,0.9,6923,1300.0,,,,May be not,,,,Hydrabad
3,others,1.68,7304,2300.0,4,Unfurnished,West,available,4,,"Garden/Park, Main Road",Hydrabad
3,Manikonda Jagir,1.65,,1710.0,4,Unfurnished,East,May be not,2,2,"Garden/Park, Pool, Main Road",Hydrabad
3,Narsingi,3.1,11654,2660.0,10+,Unfurnished,West,May be not,3,3,Garden/Park,Hydrabad
2,others,0.42,4468,940.0,4,Unfurnished,East,May be not,2,1,Main Road,Hydrabad
4,Kondapur,7.0,11667,6000.0,,Unfurnished,East,available,4,2,Main Road,Hydrabad
2,others,0.782,6800,1150.0,4,Semi-Furnished,West,available,2,2,Main Road,Hydrabad
2,Pragathi Nagar,0.5,3998,1251.0,1,Unfurnished,East,available,2,1,"Garden/Park, Pool, Main Road",Hydrabad
3,others,0.84,5600,1500.0,2,Semi-Furnished,West,available,3,2,Garden/Park,Hydrabad
2,Kondapur,1.3,8638,1505.0,10,Unfurnished,West,May be not,2,2,"Garden/Park, Pool, Main Road",Hydrabad
4,Kondapur,3.85,10969,3510.0,2,Furnished,West,available,4+,2,"Garden/Park, Main Road",Hydrabad
3,others,1.7,6600,2576.0,10+,Unfurnished,East,available,4,2,Main Road,Hydrabad
3,Kompally,0.8,5714,1400.0,1,Unfurnished,West,available,2,2,Main Road,Hydrabad
3,Chanda Nagar,1.25,7862,1590.0,10+,Semi-Furnished,West,available,3,1,Main Road,Hydrabad
3,Kondapur,2.1,8842,2375.0,10+,Semi-Furnished,East,May be not,3,2,Garden/Park,Hydrabad
3,Chanda Nagar,0.79,,1350.0,1,Semi-Furnished,East,May be not,2,1,,Hydrabad
2,Narsingi,0.68,5667,1200.0,5,Unfurnished,West,May be not,2,1,,Hydrabad
3,others,0.763,5000,1526.0,4,Unfurnished,East,available,3,1,Main Road,Hydrabad
3,Manikonda Jagir,2.0,10230,1955.0,10+,Semi-Furnished,East,available,3,3,Garden/Park,Hydrabad
3,Bandlaguda Jagir,1.11,6707,1655.0,6,Unfurnished,East,May be not,2,1,"Garden/Park, Pool, Main Road",Hydrabad
3,Outer Ring Road,1.43,6500,2200.0,3,Unfurnished,West,available,3,2,Main Road,Hydrabad
3,Kondapur,2.34,9300,2516.0,10+,Unfurnished,West,available,3,2,"Garden/Park, Main Road",Hydrabad
