,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
1304,7 BHK Builder Floor for Sale in Chandrayangutta Hyderabad,"2.70 Cr7,500 per sqft",NAN,3600 sqft,Ready to Move,Ground out of 2,Resale,Unfurnished,NAN,NAN,NAN,NAN,5,NAN,NAN,NAN
1305,3 BHK Apartment for Sale in Himayatnagar Hyderabad,"1.05 Cr10,294 per sqft",1020 sqft,NAN,Ready to Move,3 out of 5,New Property,Furnished,East,NAN,Freehold,NAN,3,1,Main Road,NAN
1306,4 BHK Apartment for Sale in HITEC City Hyderabad,"4.80 Cr16,338 per sqft",NAN,2938 sqft,Ready to Move,NAN,Resale,Unfurnished,NAN,NAN,NAN,NAN,4,2,NAN,NAN
1307,2 BHK Apartment for Sale in Mahalneknapur Hyderabad,"35 Lac2,846 per sqft",NAN,1230 sqft,NAN,2 out of 5,Resale,Semi-Furnished,North - East,NAN,Leasehold,NAN,2,1,NAN,NAN
1308,"3 BHK Builder Floor for Sale in Banjara Hills, NH 9 Hyderabad","1.70 Cr8,500 per sqft",NAN,2000 sqft,Ready to Move,4 out of 6,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1309,3 BHK Apartment for Sale in Malkajgiri Hyderabad,"1.70 Cr7,675 per sqft",NAN,2215 sqft,Ready to Move,7 out of 13,New Property,Unfurnished,NAN,NAN,NAN,NAN,3,3,Garden/Park,NAN
1310,"2 BHK Builder Floor for Sale in Pragathi Nagar, Kukatpally Hyderabad","48 Lac4,211 per sqft",NAN,1140 sqft,Ready to Move,3 out of 5,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1311,"3 BHK Apartment for Sale in Uppal, NH 2 2 Hyderabad","1.10 Cr5,965 per sqft",NAN,1844 sqft,Ready to Move,7 out of 8,Resale,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1312,"3 BHK Apartment for Sale in Jaibery Colony, Komapally Hyderabad","1.10 Cr4,774 per sqft",2304 sqft,NAN,Ready to Move,Lower Basement out of 6,Resale,Furnished,NAN,NAN,NAN,NAN,3,1,NAN,NAN
1313,3 BHK Apartment for Sale in Chanda Nagar Hyderabad,"1.55 Cr9,118 per sqft",1135 sqft,NAN,Ready to Move,1 out of 14,New Property,Furnished,West,NAN,Freehold,NAN,3,1,Garden/Park,NAN
1314,2 BHK Builder Floor for Sale in Jeedimetla Hyderabad,"51 Lac4,636 per sqft",NAN,1100 sqft,Ready to Move,2 out of 6,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1315,2 BHK Builder Floor for Sale in Hyderabad,"1 Cr9,524 per sqft",NAN,1050 sqft,Ready to Move,3 out of 4,Resale,Unfurnished,West,NAN,NAN,NAN,2,1,NAN,NAN
1316,"3 BHK Apartment for Sale in Padmarao Nagar, Hyderabad-Karimnagar Highway Hyderabad","1.90 Cr9,548 per sqft",NAN,1990 sqft,Ready to Move,3 out of 5,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1317,3 BHK Apartment for Sale in Trend squre ortus 3 Hyderabad,"1.35 Cr8,313 per sqft",NAN,1624 sqft,Ready to Move,7 out of 13,Resale,Unfurnished,North,NAN,NAN,1 Covered,3,3,"Garden/Park, Pool, Main Road",NAN
1318,"3 BHK Apartment for Sale in Jai Jawan Colony, Secunderabad Hyderabad","75 Lac3,947 per sqft",NAN,1900 sqft,Ready to Move,7 out of 7,Resale,Unfurnished,East,NAN,Freehold,1 Covered,3,NAN,NAN,NAN
1319,2 BHK Apartment for Sale in raintree park Hyderabad,"75 Lac6,250 per sqft",1010 sqft,NAN,Ready to Move,1 out of 9,Resale,Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1320,2 BHK Apartment for Sale in Rajendranagar Mandal Hyderabad,"72 Lac7,273 per sqft",NAN,990 sqft,NAN,7 out of 9,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1321,2 BHK Apartment for Sale in Anand Nagar Colony Khairtabad Hyderabad,"50 Lac6,944 per sqft",NAN,720 sqft,Ready to Move,4 out of 4,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1322,2 BHK Builder Floor for Sale in Rampally Hyderabad,"51 Lac4,080 per sqft",NAN,1250 sqft,Ready to Move,Ground out of 3,Resale,Furnished,NAN,NAN,NAN,1 Open,2,NAN,NAN,NAN
1323,2 BHK Builder Floor for Sale in Siddipet Hyderabad,"70 Lac5,600 per sqft",NAN,1250 sqft,NAN,1 out of 5,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1324,3 BHK Apartment for Sale in Hyderabad,"1.60 Cr9,575 per sqft",NAN,1671 sqft,Ready to Move,10 out of 15,New Property,Furnished,NAN,NAN,Freehold,2 Covered,3,1,NAN,NAN
1325,3 BHK Apartment for Sale in Diamond Hills Colony Hyderabad,"60 Lac6,000 per sqft",NAN,1000 sqft,Ready to Move,1 out of 3,Resale,NAN,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1326,"3 BHK Builder Floor for Sale in Manchirevula, Outer Ring Road Hyderabad","95 Lac5,648 per sqft",NAN,1682 sqft,Ready to Move,4 out of 5,Resale,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1327,"2 BHK Builder Floor for Sale in Vaidehi Nagar, Vanasthalipuram, NH 9 Hyderabad","1.40 Cr7,479 per sqft",NAN,208 sqyrd,Ready to Move,1 out of 1,Resale,Unfurnished,NAN,NAN,Freehold,1 Covered,2,NAN,NAN,NAN
1328,2 BHK Apartment for Sale in Krishna Nagar Moula Ali Hyderabad,"45 Lac4,945 per sqft",910 sqft,NAN,Ready to Move,3 out of 3,Resale,Unfurnished,North,NAN,Freehold,NAN,2,1,NAN,NAN
1329,"4 BHK Builder Floor for Sale in Vanasthalipuram, NH 9 Hyderabad","1.35 Cr6,136 per sqft",NAN,2200 sqft,Ready to Move,2 out of 3,Resale,Unfurnished,NAN,NAN,NAN,NAN,2,2,NAN,NAN
1330,3 BHK Builder Floor for Sale in Manikonda Hyderabad,"1 Cr5,556 per sqft",NAN,1800 sqft,Ready to Move,5 out of 6,Resale,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1331,3 BHK Builder Floor for Sale in Himayatnagar Hyderabad,"1.85 Cr10,000 per sqft",NAN,1850 sqft,Ready to Move,1 out of 6,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1332,2 BHK Apartment for Sale in Attapur Hyderabad,"90 Lac7,444 per sqft",NAN,1209 sqft,Ready to Move,1 out of 6,Resale,Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1333,3 BHK Builder Floor for Sale in AS Rao Nagar Hyderabad,"77 Lac5,185 per sqft",NAN,1485 sqft,Ready to Move,1 out of 5,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1334,"2 BHK Builder Floor for Sale in Miyapur, NH 9 Hyderabad","1.25 Cr10,417 per sqft",NAN,1200 sqft,Ready to Move,1 out of 5,Resale,Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1335,"2 BHK Builder Floor for Sale in Patrika Nagar, Hitech City Hyderabad","1.30 Cr10,833 per sqft",NAN,1200 sqft,Ready to Move,2 out of 5,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1336,2 BHK Builder Floor for Sale in Manikonda Jagir Hyderabad,"1.15 Cr9,297 per sqft",NAN,1237 sqft,Ready to Move,1 out of 6,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1337,3 BHK Apartment for Sale in Manikonda Jagir Hyderabad,1 Cr,1500 sqft,NAN,Ready to Move,4 out of 5,Resale,Furnished,NAN,NAN,NAN,NAN,3,2,NAN,NAN
1338,3 BHK Apartment for Sale in Kondapur Hyderabad,"1.80 Cr8,491 per sqft",NAN,2120 sqft,Ready to Move,5 out of 6,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
1339,3 BHK Apartment for Sale in Shamshabad Hyderabad,"1.40 Cr9,272 per sqft",NAN,1510 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
1340,2 BHK Apartment for Sale in Kompally Hyderabad,"72.6 Lac6,914 per sqft",NAN,1050 sqft,NAN,4 out of 15,Resale,Unfurnished,East,NAN,NAN,1 Covered,2,NAN,"Garden/Park, Pool, Main Road",NAN
1341,3 BHK Apartment for Sale in Nacharam Hyderabad,"1.30 Cr7,738 per sqft",NAN,1680 sqft,Ready to Move,5 out of 6,Resale,Furnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
